Code	File	Line	Column	Kind
    const year = new Date(date).getFullYear();	D:\Rutba\ERP\docs\accounting-architecture.md	1497	32	
  if (o.end_date && new Date(o.end_date).getTime() < now) return false;	D:\Rutba\ERP\docs\SHOP-PAGE-REDESIGN-PLAN.md	550	41	
  if (o.start_date && new Date(o.start_date).getTime() > now) return false;	D:\Rutba\ERP\docs\SHOP-PAGE-REDESIGN-PLAN.md	549	45	
            const response = await api.get("/branches?populate[0]=desks&populate[1]=currency");	D:\Rutba\ERP\packages\pos-shared\components\BranchDeskModal.js	19	39	
                    const res = await authApi.get("/products", {	D:\Rutba\ERP\packages\pos-shared\components\BulkProductActions.js	75	46	
                const file = items[i].getAsFile();	D:\Rutba\ERP\packages\pos-shared\components\FileView.js	154	38	
            const res = await authApi.get('/media-library/files/' + id);	D:\Rutba\ERP\packages\pos-shared\components\FileView.js	130	38	
                ...getTermForm(termId),	D:\Rutba\ERP\packages\pos-shared\components\ProductGalleryManager.js	603	19	
            const res = await authApi.get(`/products/${productId}`, {	D:\Rutba\ERP\packages\pos-shared\components\ProductGalleryManager.js	63	38	
            const res = await authApi.get(`/products/${productId}`, {	D:\Rutba\ERP\packages\pos-shared\components\ProductVariantManager.js	48	38	
            const res = await authApi.get('/media-library/files', params);	D:\Rutba\ERP\packages\pos-shared\components\StrapiMediaLibrary.js	74	38	
            const res = await authApi.get('/media-library/folders/tree');	D:\Rutba\ERP\packages\pos-shared\components\StrapiMediaLibrary.js	47	38	
            try { ids = JSON.parse(e.dataTransfer.getData('text/plain')); } catch (_e) { ids = []; }	D:\Rutba\ERP\packages\pos-shared\components\StrapiMediaLibrary.js	261	50	
                var file = items[i].getAsFile();	D:\Rutba\ERP\packages\pos-shared\components\StrapiMediaLibrary.js	163	36	
            var res = await authApi.get('/media-library/files/' + id);	D:\Rutba\ERP\packages\pos-shared\components\StrapiMediaLibrary.js	117	36	
            const jwt = storage.getItem("jwt");	D:\Rutba\ERP\packages\pos-shared\context\AuthContext.js	117	32	
        const jwt = storage.getItem("jwt");	D:\Rutba\ERP\packages\pos-shared\context\AuthContext.js	266	28	
        const res = await axios.get(`${API_URL}/users/me`, {	D:\Rutba\ERP\packages\pos-shared\context\AuthContext.js	40	32	
            const user = storage.getJSON("user");	D:\Rutba\ERP\packages\pos-shared\context\AuthContext.js	118	33	
        let effectiveRefreshToken = toScalar(refreshToken) || storage.getItem('refreshToken') || null;	D:\Rutba\ERP\packages\pos-shared\context\AuthContext.js	216	70	
