"File","HasTransportRefs","TransportMethodCount","ObjectAssignBlocks","CreateAcceptsData","UpdateAcceptsData"
"acc-accounts.js","False","1","0","False","False"
"acc-expenses.js","True","1","0","False","False"
"acc-invoices.js","True","1","0","False","False"
"acc-journal-entries.js","True","1","0","False","False"
"app-context.js","True","0","0","False","False"
"auth.js","True","2","0","False","False"
"auth-admin.js","True","1","0","False","False"
"branches.js","False","0","0","False","False"
"brand-groups.js","False","1","0","True","True"
"brands.js","False","1","0","False","False"
"cash-registers.js","True","5","0","False","False"
"cash-register-transactions.js","False","0","0","True","False"
"categories.js","True","14","0","False","False"
"category-groups.js","True","10","0","False","False"
"cms-footers.js","True","10","0","False","False"
"cms-pages.js","True","12","0","False","False"
"crm-activities.js","True","1","0","False","False"
"crm-contacts.js","True","2","0","False","False"
"crm-leads.js","True","4","0","False","False"
"customers.js","True","4","0","False","False"
"delivery-methods.js","True","7","0","False","False"
"delivery-zones.js","True","2","0","False","False"
"enums.js","True","1","0","False","False"
"hr-attendances.js","True","1","0","False","False"
"hr-departments.js","True","1","0","False","False"
"hr-employees.js","True","4","0","False","False"
"hr-leave-requests.js","True","4","0","False","False"
"hr-teams.js","True","4","0","False","False"
"index.js","False","0","0","False","False"
"media-library.js","True","12","0","False","False"
"media-utils.js","True","0","0","False","False"
"notification-templates.js","True","5","0","False","False"
"payments.js","True","5","0","False","False"
"pay-payroll-runs.js","True","1","0","False","False"
"pay-payslips.js","True","1","0","False","False"
"pay-salary-structures.js","True","1","0","False","False"
"product-groups.js","True","10","0","False","False"
"products.js","False","1","0","False","False"
"purchase-items.js","True","5","0","False","False"
"purchases.js","True","7","0","False","False"
"return-requests.js","True","1","0","False","False"
"rider-endpoints.js","True","9","0","False","False"
"riders.js","True","3","0","False","False"
"sale-items.js","True","3","0","False","False"
"sale-offers.js","True","10","0","False","False"
"sale-orders.js","True","6","0","False","False"
"sale-return-items.js","True","2","0","False","False"
"sale-returns.js","True","5","0","False","False"
"sales.js","True","11","0","False","False"
"site-setting.js","True","6","0","False","False"
"social-accounts.js","True","5","0","False","False"
"social-posts.js","True","9","0","False","False"
"social-replies.js","True","3","0","False","False"
"stock-helpers.js","True","0","0","False","False"
"stock-inputs.js","True","1","0","False","False"
"stock-items.js","True","11","0","False","False"
"suppliers.js","True","5","0","False","False"
"terms.js","True","4","0","False","False"
"term-types.js","True","7","0","False","False"
"upload.js","False","1","0","False","False"
"web.js","False","0","0","False","False"
"web-orders.js","True","1","0","False","False"
